仓库名称,出库方向,变动日期,产品级别,厚度,长度,宽度,存货价,出库量,出库金额
烨辉油砂仓库,山东辰明玻璃科技有限公司-兖州,2026-03-10,长城一等品,6,3660,2600,14.5,26,3587.53
烨辉油砂仓库,山东辰明玻璃科技有限公司-兖州,2026-03-10,长城一等品,6,3660,2440,14.1,26,3273.88
烨辉油砂仓库,山东辰明玻璃科技有限公司-兖州,2026-03-10,长城一等品,5,3660,2600,11.7,31,3451.45
烨辉油砂仓库,山东辰明玻璃科技有限公司-兖州,2026-03-10,长城一等品,5,3660,2440,11.7,31,3239.06
烨辉油砂仓库,青岛诚亮玻璃公司,2026-03-11,长城一等品,4.5,3660,2440,10.7,37,3535.55
烨辉油砂仓库,青岛诚亮玻璃公司,2026-03-11,长城一等品,4.5,3660,2440,10.7,37,3535.55
烨辉油砂仓库,昌乐晶盛,2026-03-10,湖北三峡欧洲灰原片优等品,7,3660,2250,20.3,52,8692.87
烨辉油砂仓库,昌乐晶盛,2026-03-10,中玻超白汽车级,7,3660,2440,24.8,44,9744.85
烨辉油砂仓库,新疆擎天龙实业有限公司,2026-03-09,长城一等品,10,3660,2440,25,32,7144.32
烨辉油砂仓库,东平鑫轩,2026-03-08,长城一等品,10,3660,2440,24.9,16,3557.87
烨辉油砂仓库,邹平龙飞玻璃,2026-03-08,长城一等品,10,3660,2440,24.9,16,3557.87
烨辉油砂仓库,西安亿兴玻璃,2026-03-08,商丘中联超白汽车级,8,3660,2440,30.5,36,9805.58
烨辉油砂仓库,西安亿兴玻璃,2026-03-08,长城一等品,8,3660,2440,19.2,40,6858.55
烨辉油砂仓库,青岛诚亮玻璃公司,2026-03-08,长城一等品,10,3660,2440,25,32,7144.32
烨辉油砂仓库,青岛诚亮玻璃公司,2026-03-08,长城一等品,8,3660,2440,19.2,40,6858.55
烨辉油砂仓库,青岛永昌达,2026-03-07,长城一等品,10,3660,2600,24.9,16,3791.17
烨辉油砂仓库,青岛永昌达,2026-03-07,长城一等品,10,3660,2250,24.9,32,6561.65
烨辉油砂仓库,青州华耀钢化玻璃有限公司,2026-03-06,廊坊金彪欧洲灰原片优等品,7.2,3660,2440,23.4,20,4179.43
烨辉油砂仓库,青州华耀钢化玻璃有限公司,2026-03-06,长城一等品,4,3660,2440,9.5,40,3393.55
烨辉油砂仓库,临朐鑫璇,2026-03-05,唐山蓝欣欧洲灰玻混装品,6.5,3660,2440,17.7125,24,3796.31
烨辉油砂仓库,刘占胜,2026-03-06,利虎一等品,7,3660,2440,15.8,52,7337.22
烨辉油砂仓库,刘占胜,2026-03-06,利虎合格品,7,3660,2250,13,26,2783.43
烨辉油砂仓库,刘占胜,2026-03-06,利虎合格品,7,3660,2440,13,26,3018.48
烨辉油砂仓库,聊城东昌府中鑫钢化玻璃,2026-03-03,淄博金晶超白汽车级,3.6,3660,2250,12.4,40,4084.56
烨辉油砂仓库,聊城东昌府中鑫钢化玻璃,2026-03-03,三峡欧洲灰玻,3.5,3660,2440,10.24,48,4389.47
烨辉油砂仓库,聊城东昌府中鑫钢化玻璃,2026-03-03,东台中玻超白汽车级,7,3660,2140,24.8,22,4273.36
烨辉油砂仓库,聊城东昌府中鑫钢化玻璃,2026-03-03,金宏阳优等品,7,3660,2440,17.5,48,7501.54
烨辉油砂仓库,聊城东昌府中鑫钢化玻璃,2026-03-03,唐山蓝欣欧洲灰玻优等品,6.5,3660,2140,19.013,54,8041.54
烨辉油砂仓库,聊城东昌府中鑫钢化玻璃,2026-03-03,唐山蓝欣欧洲灰玻优等品,6.5,3660,2440,19.013,48,8150.1
烨辉油砂仓库,青岛诚亮玻璃公司,2026-01-23,长城一等品,8,3660,2440,19,20,3393.55
烨辉油砂仓库,青岛诚亮玻璃公司,2026-01-23,长城一等品,5,3660,2440,11.6,31,3211.37
烨辉油砂仓库,烟台鑫旺玻璃有限公司,2026-01-20,内蒙古玉晶一等品,7,3660,2440,17.7,23,3635.57
烨辉油砂仓库,烟台鑫旺玻璃有限公司,2026-01-20,石家庄玉晶一等品,10,3660,2140,25,34,6657.54
烨辉油砂仓库,烟台鑫旺玻璃有限公司,2026-01-20,石家庄玉晶一等品,10,3660,2440,25,34,7590.84
烨辉油砂仓库,青岛诚亮玻璃公司,2026-01-18,长城一等品,10,3660,2440,24.4,16,3486.43
烨辉油砂仓库,青岛诚亮玻璃公司,2026-01-18,长城一等品,10,3660,2440,24.4,16,3486.43
烨辉油砂仓库,青岛诚亮玻璃公司,2026-01-18,长城一等品,8,3660,2440,19,20,3393.55
烨辉油砂仓库,青岛诚亮玻璃公司,2026-01-18,漳州旗滨欧洲灰玻KN,10,3660,2440,31.75,18,5103.72
烨辉油砂仓库,济宁晟源,2026-01-17,天津台玻超白汽车级,7.1,3660,2440,24.9,48,10673.61
烨辉油砂仓库,济宁晟源,2026-01-17,秦皇岛奥华超白汽车级,8,3660,2250,30.8,40,10145.52
烨辉油砂仓库,济宁晟源,2026-01-17,天津台玻超白汽车级,7.1,3660,2250,24.9,25,5126.29
烨辉油砂仓库,济宁晟源,2026-01-17,天津台玻超白汽车级,7.1,3660,2250,24.9,25,5126.29
烨辉油砂仓库,济宁晟源,2026-01-17,湖北三峡欧洲灰原片优等品,8,3660,2440,23.6,21,4425.91
烨辉油砂仓库,济宁晟源,2026-01-17,湖北三峡欧洲灰原片优等品,7.2,3660,2250,21.24,52,9095.39
烨辉油砂仓库,济宁晟源,2026-01-17,金宏阳优等品,7.2,3660,2440,17.6,24,3772.2
烨辉油砂仓库,羽佳鑫盛,2026-01-17,长城一等品,10,3660,2440,24.4,48,10459.28
烨辉油砂仓库,贾汪雅琦玻璃,2026-01-15,长城一等品,8,3660,2250,20.7,20,3409.29
烨辉油砂仓库,贾汪雅琦玻璃,2026-01-15,长城一等品,8,3660,2003,20.7,100,15175.13
烨辉油砂仓库,日照精玻工贸有限公司,2026-01-15,商丘中联超白汽车级,4,3660,2440,15.7,36,5047.46
烨辉油砂仓库,日照精玻工贸有限公司,2026-01-15,长城一等品,8,3660,2440,19,20,3393.55
烨辉油砂仓库,日照精玻工贸有限公司,2026-01-15,长城一等品,4,3660,2440,9.35,40,3339.97
烨辉油砂仓库,日照精玻工贸有限公司,2026-01-15,湖北三峡欧洲灰原片优等品,8,3660,2440,23.8,21,4463.41
烨辉油砂仓库,新疆星光玻璃,2026-01-09,长城一等品,10,3660,2440,23.25,48,9966.33
烨辉油砂仓库,新疆星光玻璃,2026-01-09,唐山蓝欣欧洲灰玻优等品,10,3660,2440,30.5,60,16342.63
烨辉油砂仓库,烟台鑫旺玻璃有限公司,2026-01-07,金宏阳优等品,7,3660,2440,16.5,24,3536.44
烨辉油砂仓库,烟台鑫旺玻璃有限公司,2026-01-07,金宏阳优等品,4.5,3660,2440,10.6,38,3597.17
烨辉油砂仓库,山西运城盐湖区昶迪玻璃,2026-01-04,秦皇岛奥华超白汽车级,8,3660,2440,27,20,4822.42
烨辉油砂仓库,山西运城盐湖区昶迪玻璃,2026-01-04,唐山蓝欣欧洲灰玻优等品,8,3660,2440,23.8,15,3188.15
烨辉油砂仓库,山西运城盐湖区昶迪玻璃,2026-01-04,长城一等品,10,3660,2600,23.3,16,3547.56
烨辉油砂仓库,青岛诚亮玻璃公司,2026-01-02,长城一等品,8,3660,2440,18,20,3214.94
烨辉油砂仓库,青岛永昌达,2025-12-30,长城一等品,10,3660,2440,24.2,32,6915.7
烨辉油砂仓库,烟台鑫旺玻璃有限公司,2025-12-29,金宏阳优等品,4,3660,2440,9.9,80,7072.88
烨辉油砂仓库,烟台鑫旺玻璃有限公司,2025-12-29,金宏阳优等品,7,3660,2250,17.3,24,3419.17
烨辉油砂仓库,日照东方玻璃,2025-12-20,金宏阳优等品,4.3,3660,2440,10.5,38,3563.23
烨辉油砂仓库,邹平龙飞,2025-12-20,长城一等品,8,3660,2440,19.2,40,6858.55
烨辉油砂仓库,济宁晟源,2025-12-20,三峡欧洲灰玻一等品,6.7,3660,2250,20.1,27,4469.13
烨辉油砂仓库,济宁晟源,2025-12-20,金宏阳优等品,7,3660,2250,17.3,24,3419.17
烨辉油砂仓库,周口川汇区鑫发现,2025-12-19,利虎一等品,4.2,3660,2440,10.3,210,19316.46
烨辉油砂仓库,青岛永昌达,2025-12-17,长城一等品,4.5,3660,2440,12.3,74,8128.45
烨辉油砂仓库,烟台鑫旺玻璃有限公司,2025-12-17,金宏阳优等品,7,3660,2250,17.3,24,3419.17
烨辉油砂仓库,烟台鑫旺玻璃有限公司,2025-12-17,金宏阳优等品,4,3660,2440,9.9,40,3536.44
烨辉油砂仓库,烟台鑫旺玻璃有限公司,2025-12-17,金宏阳优等品,7,3660,2250,17.3,24,3419.17
烨辉油砂仓库,青岛鑫天马玻璃有限公司,2025-12-14,石家庄玉晶一等品,4,3660,2440,9.9,80,7072.88
烨辉油砂仓库,青岛鑫天马玻璃有限公司,2025-12-14,长城一等品,8,3660,2440,19.3,40,6894.27
烨辉油砂仓库,青岛鑫天马玻璃有限公司,2025-12-14,长城一等品,5,3660,2440,11.65,62,6450.43
烨辉油砂仓库,衡水枣强中迈玻璃,2025-12-03,内蒙古玉晶一等品,6,3660,2600,15.2,52,7521.45
烨辉油砂仓库,沈阳宏豪原玻璃,2025-11-28,东台中玻中玻灰普通级,4,3660,2440,12.4,468,51824.9
烨辉油砂仓库,济宁晟源,2025-11-27,金宏阳优等品,7,3660,2440,17.8,24,3815.07
烨辉油砂仓库,济宁晟源,2025-11-27,天津台玻超白汽车级,6.7,3660,2250,25.2,28,5810.62
烨辉油砂仓库,济宁晟源,2025-11-27,秦皇岛奥华超白汽车级,8,3660,2280,31.6,21,5537.61
烨辉油砂仓库,济宁晟源,2025-11-27,唐山蓝欣欧洲灰玻优等品,8,3660,2440,25.2,15,3375.69
烨辉油砂仓库,日照精玻工贸有限公司,2025-11-21,秦皇岛奥华超白汽车级,7.2,3660,2440,27.5,23,5648.48
烨辉油砂仓库,青州华耀钢化玻璃有限公司,2025-11-18,内蒙古玉晶一等品,5,3660,2440,12.6,70,7876.61
烨辉油砂仓库,青州华耀钢化玻璃有限公司,2025-11-18,河北金彪欧洲灰原片优等,7.2,3660,2440,24.12,20,4308.02
烨辉油砂仓库,青岛永昌达,2025-11-14,长城一等品,10,3660,2250,26.4,32,6956.93
烨辉油砂仓库,邹平龙飞,2025-11-12,长城一等品,4.5,3660,2440,11.4,37,3766.84
烨辉油砂仓库,济宁晟源,2025-11-12,秦皇岛奥华超白汽车级,8,3660,2280,31.6,21,5537.61
烨辉油砂仓库,济宁晟源,2025-11-12,唐山蓝欣欧洲灰玻优等品,8,3660,2250,25.2,16,3320.35
烨辉油砂仓库,济宁晟源,2025-11-12,金宏阳优等品,7,3660,2250,18.4,24,3636.58
烨辉油砂仓库,济宁晟源,2025-11-12,金宏阳优等品,7,3660,2140,18.5,24,3477.59
烨辉油砂仓库,齐河盛和玻璃公司,2025-11-07,秦皇岛奥华超白汽车级,7.2,3660,2250,27.5,25,5661.56
烨辉油砂仓库,齐河盛和玻璃公司,2025-11-07,长城一等品,6,3300,2140,15.7,52,5765.42
烨辉油砂仓库,烟台海林建材有限公司,2025-11-05,天津台玻超白汽车级,6.7,3660,2140,25.2,29,5723.92
烨辉油砂仓库,烟台海林建材有限公司,2025-11-05,金宏阳优等品,7,3660,2140,18.6,24,3496.38
烨辉油砂仓库,亳州星傲,2025-11-02,长城一等品,10,3660,2440,26.8,48,11488.07
