级别编码,级别名称,分类编号,分类名称,厚度,长度,宽度,吨位差
00301827,成都南玻超白汽车级,003,超白,10,4701,2440,0
00402073,廊坊金彪欧洲灰玻优等,004,色玻,8,3660,2800,0.2
00301826,吴江南玻超白汽车级,003,超白,10,4880,3300,0
00402072,耀华F绿玻,004,色玻,4.1,2440,1830,0
00301825,吴江南玻超白汽车级,003,超白,12,4880,3300,0
00301824,吴江南玻超白汽车级,003,超白,12,4100,2440,0
00301823,吴江南玻超白汽车级,003,超白,12,3660,2440,0
00301822,吴江南玻超白汽车级,003,超白,12,3300,2440,0
00301821,吴江南玻超白汽车级,003,超白,12,4280,2280,0
00301820,吴江南玻超白汽车级,003,超白,10,1880,3300,0
00301819,吴江南玻超白汽车级,003,超白,10,4580,2810,0
00301818,吴江南玻超白汽车级,003,超白,10,4580,2440,0
00105004,凯盛晶华过渡品,001,白玻,4.9,3660,2140,0
00105003,德金优等,001,白玻,4.5,2440,2000,0.2
00700485,钻石油砂,007,油砂,5,2440,2100,0.2
00301817,河北南玻超白汽车级,003,超白,10,3300,2250,0.2
00105002,金宏阳优等品,001,白玻,10,4280,2440,0.2
00105001,金宏阳优等品,001,白玻,10,4580,2140,0.2
00105000,凯盛晶华过渡品,001,白玻,4.9,3660,2440,0
00104999,金宏阳优等品,001,白玻,8,4580,2800,0.2
00104998,鸿升优等品,001,白玻,3.2,2440,2000,0.2
00104997,鸿升优等品,001,白玻,3.2,2200,1900,0.2
00104996,德金一等,001,白玻,4.5,2440,1900,0.3
00201459,安强lowe170,002,Low-E,5,3660,2280,0.2
00104995,河北南玻普白汽车级,001,白玻,15,3050,2440,0.2
00402071,秦皇岛耀华F绿过渡色一等品,004,色玻,4.9,3660,2440,0
00104994,石家庄玉晶合格品,001,白玻,5,3660,2550,0.2
00402070,金彪金茶优等品,004,色玻,3.9,2440,1830,0.2
00402069,金彪金茶优等品,004,色玻,3.9,3660,2440,0.2
00700484,普白单面油砂,007,油砂,7,3660,2250,0.2
00104992,鸿升优等品,001,白玻,3.2,2440,1900,0
00104991,营口信义一等品,001,白玻,12,3050,2800,0
00104990,凯盛晶华过渡品,001,白玻,4.9,3660,2740,0
00104990,营口信义一等品,001,白玻,12,3660,2550,0
00104989,金宏阳优等品,001,白玻,8,4000,2140,0.2
00402068,曲靖海生福特蓝镀膜优等,004,色玻,4.3,2200,1830,0
00800155,单漆铝镜,008,镜子,2.8,2200,2000,0.2
00800154,单漆铝镜,008,镜子,2.8,2440,2000,0.2
00301816,中玻超白汽车级,003,超白,7,3660,2440,0.2
00104988,寿光光耀普通级-X,001,白玻,5,2440,2000,0.2
00500622,贵山超白长虹,005,压花,7,2440,2250,0.2
00402067,湖北三峡欧洲灰原片优等品,004,色玻,8,3660,2140,0.2
00104987,咸阳台玻白玻一等,001,白玻,5,3660,2440,0
00104986,咸阳台玻白玻一等,001,白玻,6,3660,2440,0
00104985,咸阳台玻白玻一等,001,白玻,8,3660,2440,0
00104984,石家庄玉晶一等品,001,白玻,6,4880,1950,0.2
00104983,金仓优等,001,白玻,3.4,2440,2000,0.2
00402066,漳州旗滨福特蓝玻KN,004,色玻,8,3660,2740,0
00201458,北玻lowe170,002,Low-E,5,3660,2280,0.2
